,Title,Location,Company,Salary,Description
98,Lawyer – Commercial Property (Turkish Speaking),London,Law Staff Legal Recruitment,,"Quick Apply Create a Job Alert
CV upload:
An up to date CV is required to register you so that we may find vacancies that best suit your experience.
Browse
Accepted file types: .doc, .docx, .pdf
Submit
Lexcel accredited firm in London seeks a Turkish speaking Commercial Property Lawyer on a full-time, permanent basis.

This is an opportune time for a skilful solicitor or legal executive to join our client’s multi-accredited practice located in East London. The successful candidate will manage a complex caseload, whilst providing high quality advice across a broad range of commercial property matters. Fluency in Turkish is essential for this role.

Responsibilities
Acquisitions
Disposals
Developments
Real estate
Landlord and tenant matters
Deeds of variation
Licences to assign
Lease extensions
Granting, drafting and amending leases

The Candidate
Solicitors and legal executives with three to six years’ PQE
Experience in commercial property is essential
Fluency in Turkish is required
A strong communicator with exceptional client care skills
Possess excellent drafting and negotiation skills
Work well when under pressure to meet tight deadlines whilst maintaining high levels of accuracy

The Firm
Our client is a long-established practice with strong roots in London who offer the best quality services to individuals both locally and further afield. With a reputation for providing excellent and tailored services to suit individual client needs, the firm has acquired a loyal client following and numerous accreditations including the Lexcel quality mark. They are now seeking a Commercial Property Lawyer for their London office.

Lawyer – Commercial Property (Turkish Speaking)

For further details of this Turkish speaking Commercial Property Solicitor vacancy, please contact Simon on
Show phone number
quoting reference SS31450.

PLEASE CHECK YOUR EMAIL (INCLUDING SPAM FOLDER) FOR CONFIRMATION YOUR APPLICATION HAS BEEN RECEIVED.
Please follow our agency on LinkedIn, where we post up to date information, jobs and case studies.

Law Staff Legal Recruitment Limited are a recruitment agency, all vacancy descriptions are of general content and no responsibility is taken for salary or PQE differences. The salary range shown on the current advert may not have been an indication provided by the client and could be a guideline from our research team as a broad indication on salary scales in the market, dependent on experience.

By applying for this position at Law Staff Legal you confirm that you have the experience, training, qualifications and any authorisation required by law or by any professional body, which the position requires and that you are willing to work in the position.

By applying for this position you give Law Staff Legal Recruitment Limited authorisation to submit your curriculum vitae to the hirer. If you do not wish us to make this application on your behalf please email informing Law Staff Legal Recruitment Limited of such. Please note however, once an introduction has been made by Law Staff Legal Recruitment it cannot be withdrawn this and you are bound by the terms as stated here in our terms supplied on our web site.

In accordance with The Conduct of Agencies and Businesses Regulations Act of 2003, Law Staff Legal Recruitment Limited require all candidates applying for a position to provide via email, fax or post, a copy of photographic identity and proof of address.

Please also note that all communication, including telephone calls, with Law Staff Legal Recruitment Limited are recorded and monitored for training and compliance purposes.

To view Law Staff Legal Recruitment Limited's candidate registration terms please go to our website.

As part of Law Staff Legal Recruitment Limited's candidate registration and care process, all successful applications are responded to within 7 working days. If you have not been contacted within this timescale your application has been unsuccessful on this occasion."
99,Turkish Localisation QA Senior Tester,Middlesex,SEGA Development Services,,"PERMANENT CONTRACT
LOCALISATION TEAM
BASED AT SEGA HQ IN BRENTFORD, WEST LONDON
REPORTING TO THE LOCALISATION QA PROJECT MANAGERS

A BIT ABOUT SEGA
SEGA is one of the leading interactive entertainment companies in the world, with our European HQ based in West London and our five development studios spanning the UK, Bulgaria, France and Canada. Known for quality and creativity above all else, our studios include Sports Interactive, Amplitude Studios, Two Point Studios, The Creative Assembly and Relic Entertainment.
At the heart of SEGA is our publishing team based in London, where we help the studios bring their creative vision to life. Here we have a hardworking bunch of people spanning Tech, Sales, Marketing, Finance, QA and more.
Together, we drive the continued success and evolution of our Western business through living our company values of always collaborating, being entrepreneurial in spirit, having a winning mentality and focusing on uncompromising quality.

WORKING THE SEGA WAY
We believe that making the best games relies on having the best people, so we make sure that we look after ours…
For our gaming buffs, you can get involved in our lunchtime gaming sessions in our games lounge, regular gaming tournaments and free SEGA games on Steam
If you're more of a foodie, you can take advantage of Icecream Wednesdays or our fresh fruit and cereal every single day
Fitness fanatics will love our discounted gym membership, ride to work scheme, workout area and bootcamps in the park. You can find your zen with weekly yoga classes as well as in-house massage therapy
You'll have access to a comprehensive benefits package that includes life assurance, income protection, private healthcare & dental insurance schemes and an enhanced contributory pension scheme. We offer competitive salaries and a fantastic bonus scheme so that you can stay motivated and focused on making SEGA the best it can be
We hold regular lunch & learn sessions, company updates at the world-famous BAFTA theatre in Central London and Summer and Christmas parties that you’ll want to brag to your mates about! What’s not to love?
We pride ourselves on having flexible working hours to ensure that you have a life outside of the office
We want people of all backgrounds to see themselves represented and included in our work, so we actively seek to diversify our team and bring more voices to the table. All applicants are welcome!
And that’s just the tip of the iceberg. Check out our Careers website to find out why we are a workplace you’ll never want to leave!

POSITION OVERVIEW
As a Localisation QA Senior Tester, you’ll be the key point of contact for your language within Localisation QA. You will test SEGA products and verify any localised assets, whilst guiding and mentoring the less experienced testers in the team. You’ll be responsible for linguistic quality and ensuring that the correct terminology and glossaries are used for the relevant territory. You’ll also assist with casting and audio and will be the final point of escalation to ensure quality within the language.

KEY RESPONSIBILITIES
Test SEGA products for linguistic correctness.
Run test cases and localisation checks in the respective language.
Identify linguistic issues and report them in the bug database, suggesting fixes to defect/bugs within the assigned products.
Edit and fix master text files/text databases and provide translation as necessary.
Complete localisation compliance checks and act as a point of reference for naming conventions for the assigned language.
Verify localised assets related to the product in testing.
Support with audio casting and the audio assets verification process, acting as the final point of escalation for your territory.
Review and verify the team’s bugs, edits and suggestions for correctness, grammar/spelling and adherence to first party terminology and internal glossaries.
Ensure consistency of process is applied within your respective language team.
Provide feedback and linguistic/IP direction for the testing team and external translators in order to maintain quality and consistency within the language and the products.
Be a point of reference and final point of escalation for the relevant language within the Localisation Department.
Act as a guide and mentor to the less experienced testers on the relevant language.
Create standardised and measurable quality report on the assigned language.
Work together with the broader localisation team to maintain glossaries for the SEGA IPs for the assigned languages.
Provide performance review data to the LQA Project Managers and Associate Leads.
When necessary, support the LQA Project Managers and LQA Associate Leads with project administration.

KNOWLEDGE, SKILLS & EXPERIENCE
Experienced tester, able to tackle the most challenging tasks with ease and adapt to any project requirement.
Excellent knowledge of SEGA’s IPs and products.
Excellent working knowledge of the software tools in use at SEGA (test case management and text editing tools).
Excellent knowledge of first party naming conventions.
Working knowledge of CAT tools (MemoQ).
Excellent linguistic knowledge and deep understanding of your contracted language.
Understanding of the linguistic trends and consumer expectations of the target market, able to deliver precise, relevant and resonant language for that territory and IP.
Clear, concise and professional communicator, both in English and your contracted language.
High proficiency with Microsoft Office.
Reliable, with high work standards and the willingness to meet and exceed expectations.
Flexible and adaptable to different LQA tasks and projects.
Proven ability to maintain focus and commitment.
Passion and enthusiasm for the role and the company, capable of motivating and inspire others."
100,Clinical Lead Nurse,London,Taleb Group Qatar,,"JOB OFFER AS CHIEF NURSE IN TURKISH HOSPITAL, QATAR (UK / EU NATIONALITY CANDIDATES)
JOB LOCATION : Doha, Qatar
OVERVIEW
Your responsibility as a Chief Nurse starts with overseeing and spearheading overall
operations of the Nursing Services Department. Your focus is not limited to the nursing
process but involves administrative and management skills. You are expected to create a safe and healthy environment that promotes a result-oriented health care team and contribute to patient engagement. You should be able to influence your colleagues in building a professional environment and fostering a culture where interdisciplinary team members are able to contribute to optimal patient outcomes and grow professionally.
KEY DUTIES and RESPONSIBILITIES
Direct personnel functions, including recruiting, hiring and retention of staff and handling disciplinary actions. This also includes planning and monitoring improvement and appraising staffs performance.
Prepare, check and monitor staff schedules at all times and assure that there is proper staff allocation in each care areas
Respond to patient’s complaints and concerns
Plan and manage finances of your department including supplies management and making sure that all charges to patients are correct and dues are properly settled before discharge
Review all type of reports and take action to non-compliances and irregularities
Coordinate and Communicate with other departments to ensure strong positive outcome of service delivery (in all aspects)
Adopt and implement innovative nursing practices for service improvement
Ensure that nursing staff remains in compliance with professional development and regulatory standards
Represent your department in cross-functional meetings in the organization to discuss plans, expectations and other important matters concerning regulatory compliance, complaints, service improvement and alike.
Maintains nursing supplies inventory by studying usage reports; identifying trends; anticipating needed supplies; approving requisitions and cost allocations
Ensure that equipment are in place and working
Maintains professional and technical knowledge by attending educational workshops; reviewing professional publications; establishing personal networks; participating in professional societies/organization
Protect patients and colleagues by adhering to infection-control policies and protocols; medication administration and storage procedure and controlled substance regulations
Create a positive, collaborative work environment
Develop and implement objectives, policies and procedures
Teach and provide educational support and training for staff
Comply with Patient Safety Requirements and adhere to Quality Standards and Best Practices (Policies, Procedures, Work Flows, Clinical Pathways and Documentation Standards)
SKILLS and PERSONALITY
Adaptive learning and flexibility to what is required in a particular situation
Multitasking skills
Presentable, approachable manner and charisma
Strong leadership skills
Excellent interpersonal, written and verbal communication skills
Superb staff management ability
Has great eye for details and numbers
Maintain professionalism and treat all patients and staffs with due respect and integrity
Able to make quick decisions and remain calm in stressful situations
Able to work flexibly including irregular hours or emergency calls
Comfortable working in a fast-paced and pressurized environment
A good problem solver with an analytical mind
An excellent communicator who is able to understand and empathize with your patients and colleagues
Confident in your skills, knowledge and ability
Persistent and emotionally resilient during challenging and complex situations
With strong organizational skills including good records keeping in both medical and business setting
Receptive to a wide variety of ideas and learning for continual improvement and has an extreme initiative for self-development
LICENSES, CERTIFICATES and TRAINING
Medical Licensed in Qatar
Dataflow Certificate
Must attend to trainings provided In-house or external for continual professional
development
BLS/CPR Certificate
ACLS Certificate
REQUIREMENTS and QUALIFICATIONS
Bachelor of Science in Nursing
Master’s Degree in Nursing
Three (3) to Five (5) years proven experience in Nursing
At least Three (3) years proven experience in a Lead/Supervisory Position
Completed a Leadership Program/Course
Job Type: Full-time
Experience:
Nursing: 3 years (Required)
Lead / Supervisory position: 3 years (Required)
Education:
Bachelor's (Preferred)
Licence:
Medical (Preferred)"
101,Supported Living Worker CQC,Dewsbury,Home Group Limited,,"Supported Living Worker CQC
Mirfield and Ravensthorpe
Full and Part Time hours available (to be discussed)
Salary starting £18,200 to £18,450 pa rising to £19,200 through length of service [pro rata]
From £9.31 per hour if you’d prefer to work on a casual basis
Plus Brilliant Benefits!
At Home Group it’s critical we continue to deliver services for our customers during the COVID-19 outbreak, and our awesome colleagues are at the very heart of making that happen. We need Brilliant People like you to join us (and not just during this challenging time). We are doing things a little differently at the moment, so to keep you, our customers and ourselves safe we’ll engage with you digitally where possible.
Empowering customers to live rewarding and happy lives. That’s when it hits home.
We have a fantastic opportunity for a brilliant Supported Living Worker like you to join our fab and supportive team. Our Brand new CQC registered service provides support to our brilliant customers who have a mental health diagnosis, mild to moderate learning disability and or an acquired brain injury within a supported living setting.
You’ll support our customers to live their day to day lives as independently as possible. The team will tell you that no two days are ever the same because everything we do is “person centred” around our customers. You will play a huge part in enabling our customers to reach their aspirations! This may be but certainly not limited to; supporting with medication, personal care, finances, accessing the community, gaining employment or engaging in meaningful activities. We support our customers to get to where they want to be in their lives!
About our team
Our team describe themselves as friendly and approachable. In fact, when new members have joined us, it’s been said that they felt welcomed from day one! You really want to join a team that is as fab, and team spirited as ours!
We’re also super passionate about supporting customers and celebrating their achievements. To us were not just a team we’re a ‘work family’. Our manager is Tracey. Tracey has worked for homegroup for over 17 years in varying services, she has a vast range of knowledge and experience which she is always willing to share. Tracey has a fab sense of humour and a very supportive nature. Tracey loves nothing more than relaxing with a good crime novel, psychological drama or walking her dog Dink! Tracey also has an adventurous side! She enjoys nothing more than snorkelling off the Turkish coast or quad biking through the mountains!
We are a diverse, expanding team made up of a registered manager, deputy manager, support coordinators, night support workers and support workers! We don’t just love to support our customers, we’re there for each other too!
Working hours
We provide 24-hour support to our customers each and every day. You’ll work on a rota basis. This will include days and evenings. This will include bank holidays and weekends. We need you to be flexible to meet the needs of our customers, but we aim to give you the time you need to spend time doing the things that matter to you!
Bank
Looking for a more flexible working pattern? You can also join us on a flexible basis by being part of our bank. You can work hours that fit around your current commitments or even pick up some additional shifts to your main role to earn some extra cash and get paid on a weekly basis.
About you
You’re passionate and motivated. To you providing care and support is more than just a job, you make every customer feel valued and respected. You’re compassionate and use your unique empathy and creativity skills to help our customers reach their full potential. Treating your customers with integrity, you ensure that they maintain their dignity at all times.
We help our customers to achieve their aspirations and to live their best life. You’ll play your part by assisting in the delivery of tasks that are based on our customers Life book. You’ll work with our Senior Support Workers and external agencies to support our customers. You can see what it’s like to work in a service like this in our great video.
If you’re not the biggest fan of technology, that’s not a problem to us. You do need to know that we are quite a high-tech company and most of our application process and mandatory learning are online. However, we’re glad to support you, if you need help.
It would be amazing if you have worked in this type of environment before, however it’s your “can do” positive attitude and enthusiasm that are critical to make this role a success. We can nurture your talent, just let us know in your cover letter why you have a passion for working here!
When you join, you’ll need to have a valid Enhanced Check under the Disclosure and Barring Service. The great news is that we will pay for that to be done if you don’t have a transferrable one.
Want to know more?
If you’re not reading this advert on our career’s pages, press the APPLY NOW button to access lots of useful stuff! You can download the supported living worker job description, and find out more about Home Group. We’ve also got some short films that show you what it’s like to work here, and we know you’ll want to find out more about our award winning benefits and rewards package!
To apply
Don’t delay applying for this brilliant job, as we may close it early if we get lots of applications! Just upload your CV and if you have one, your covering letter (this will help us learn more about you!). If you need them, we’ve also got some great templates to help you.
You’re unique!
Home Group play a big part in tackling prejudice and discrimination, not just for our customers, but colleagues too! You can be yourself here, because we value everything that makes you unique. So whatever your age, race, sexuality, disability, religion, or gender identity, we recognise and celebrate our differences. Together we make Home Group a great place to work!
#social #care #socialcare # MirfieldRavensthorpejobs #Yorkshirejobs #CQCj

Work Locations: Dewsbury (Queens Street) 93 Queens Street Dewsbury WF13 3BS"
102,Waking Nights Supported Living Worker,Dewsbury,Home Group Limited,,"Waking Nights Supported Living Worker – CQC
Queens Street, Ravensthorpe
2 permanent positions – 1 full time 37.5 & 1 part time 34.5 hpw
Salary starting £18,200 to £18,450 pa rising to £19,200 per annum pro rata plus brilliant benefits
From £9.31 per hour if you’d prefer to work on a casual basis

Empowering customers to live rewarding and happy lives. That’s when it hits home!
At Home Group it’s critical we continue to deliver services for our customers during the COVID-19 outbreak, and our awesome colleagues are at the very heart of making that happen. We are doing things a little differently at the moment, so to keep you, our customers and ourselves safe we’ll engage with you digitally.
We have a brilliant opportunity for you to join our independent supported living CQC service in the beautiful old mill town of Kirklees. Our Queen Street service supports adult customers who have complex needs including Learning Disabilities, Personality Disorders and Mental Health diagnosis. We offer person centred support, helping customers to live in their own home and fulfil their goals and aspirations so they can live their best lives.
Our beautifully refurbished property at Queen Street in Ravensthorpe, has self-contained furnished apartments, with two buildings with open living spaces and a newly decked outside area (ideal for those summer BBQ’s). We are also very close to Huddersfield town centre by public transport or by car.
Your role
You’ll be a lone worker during the night and our customers’ first point of call if they need you. Working waking nights as our Supported Living Worker, you’ll be supporting our customers to live their day to day lives as independently as possible, helping with everyday activities including daily living tasks, health, emotional and behavioural support. You’ll be helping customers who have more complex needs with personal care, such as bathing in the evening and issuing medication. You’ll be our night owl who safeguards our customers and our building, ensures records are kept up to date and ready to handover to day shift colleagues. You might even carry out some light cleaning duties if needed.
About our team
Tracey is our Registered Manager at the service who has worked at Home Group for over 17 years in lots of our different services, so you’ll have tons of experienced support on hand. Tracey has a fab sense of humour and a very supportive nature and loves nothing more than relaxing with a good crime novel, psychological drama or walking her dog Dink! Tracey also has an adventurous side! She enjoys nothing more than snorkelling off the Turkish coast or quad biking through the mountains!
You’ll be reporting to Sophie our Deputy Manager, a busy super mum of 2. In her spare time (when she gets it) she likes to catch up with friends over a nice meal or relaxing watching a TV thriller.
We are a diverse, expanding team made up of a Registered Manager, Deputy Manager, Support Coordinators, Night Support Workers and Support Workers! We don’t just love to support our customers, we’re there for each other too!
Working hours
These waking night roles will cover the twilight shifts and the shift patterns available are:
Week 1 – Monday, Tuesday & Wednesday (waking nights 8.45 pm to 8.15 am)
Week 2 – Thursday (waking night 8.45 pm to 8.15 am) Saturday & Sunday (all-day 8am-9pm)
Or weekends only (Fri, Sat, Sun waking nights)
We need you to be flexible to meet the needs of our customers, but we’ll also give you the time you need to spend time doing the things that matter to you!
Bank
Looking for a more flexible working pattern? You can also join us on a flexible basis by being part of our bank. You can work hours that fit around your current commitments or even pick up some additional shifts to your main role to earn some extra cash and get paid on a weekly basis.
About you
You’ll have a positive can do attitude and passionate about making a big impact on our customers’ lives. It would be amazing if you have worked in this type of environment before, however it’s your “can do” positive attitude and enthusiasm that are critical to make this role a success. We can nurture your talent, just let us know in your cover letter why you have a passion for working here! Don’t worry, we won’t drop you in the deep end, we’ll nurture your talent, help you understand how things work at Home Group and you’ll have a fantastic induction with ongoing learning and support!
You’ll ideally hold a Level 2 certificate or equivalent in Health and Social Care, if you don’t, we’ll pay and support you to achieve this. If you’re not the biggest fan of technology, that’s not a problem to us. You do need to know that we are quite a high tech company and most of our application process and mandatory learning are online. However we’re glad to support you, if you need help.
When you join, you’ll need to have a valid Enhanced Check under the Disclosure and Barring Service. The great news is that we will pay for that to be done if you don’t have a transferrable one.
Want to know more?
If you’re not reading this advert on our careers pages, press the APPLY NOW button to access lots of useful stuff! You can download the support worker job description, and find out more about Home Group. We’ve also got some short films that show you what it’s like to work here, and we know you’ll want to find out more about our award winning benefits and rewards package!
To apply
Don’t delay applying for this brilliant job, as we may close it early if we get lots of applications! Just upload your CV and if you have one, your covering letter (this will help us learn more about you!). If you need them, we’ve also got some great templates to help you.
You’re unique!
Home Group play a big part in tackling prejudice and discrimination, not just for our customers, but colleagues too! You can be yourself here, because we value everything that makes you unique. So whatever your age, race, sexuality, disability, religion, or gender identity, we recognise and celebrate our differences. Together we make Home Group a great place to work!
#social #care #socialcare #kirkleesjobs

Work Locations: Dewsbury (Queens Street) 93 Queens Street Dewsbury WF13 3BS"
103,3rd Line IT Support Analyst,Paddington,Venturi,,"3rd Line IT Senior Support Analyst – Network Security / Microsoft – Paddington London £40,000 – £45,000 plus 20% bonus and excellent benefits
An international organiser of conferences and events, Is actively looking for a 3 rd Line IT Senior Support Analyst, to join their impressive IT Team. They boast an impressive client base and organise over 240 trade exhibitions and conferences each year in 18 countries.
As the 3 rd Line IT Senior Support Analyst your primary role is as a senior escalation point for the day-to-day support and to the 2nd line support teams across the company. Support can be on any element of IT estate including desktop computer, printers, network troubleshooting, network security, remote access, business applications and telephony.
The secondary role will be to carry out weekly, monthly and annual tasks to ensure infrastructure is secure and safe from threats and attacks and provide guidance to staff working within the Infrastructure staff in the 2nd and 1st line teams.
Support will be provided both from on site and remotely across the globe.
KEY RESPONSIBILITIES:
Act as an escalation point to 2nd line helpdesk engineers. Perform helpdesk support calls via escalation, meet service levels, and work with teams to resolve user issues quickly and efficiently
Provide escalation support on all major applications
Daily checking of server alerts and logs (with 2nd line team), remediate identified issues.
Daily checking of backups and logs (with 2nd line team), remediate identified issues.
Regularly reboot servers during maintenance windows if resources low.
Test and document server recovery processes
Manage DR testing and process
Maintain inventory and documentation of all servers
Weekly check servers of server by logging in and test critical apps
Perform annual data archive & long-term backups
Build new servers meeting agreed SLA’s
Develop SCCM strategy with infrastructure and security 3rd line to ensure all servers protected
Manage 2nd line team process and provide guidance how to –
– Check server alerts and logs remediate
– Check backups & logs
– Inventory Servers
– Update Documentation
– Check servers – log in and test critical apps
– SCCM / Intune Management
Experience & Knowledge – Essential
At least three years’ experience managing security on a multi subnet global IT network.
At least three years’ experience working with a Microsoft Windows IT environment
Experience of monitoring tools for server performance
Experience building servers in line with agreed best practices
Experience & Knowledge – Desirable
Experience of using a support desk system
Knowledge of supporting a cloud-based telephony solution
Experience of team leadership / management desirable
Experience of Microsoft Azure Cloud desirable
Experience of VMWare or Hyper-V hyper visors desirable
ServiceNow development experience desirable
Experience in Dynamics CRM
Skills – Essential
Native in English, Russian, Turkish, or simplified Chinese speaker
Good troubleshooting skills
Skills – Desirable
Understanding of one additional language (Russian, Turkish, English or simplified Chinese preferred)
Professional IT qualification desirable
How to apply for 3 rd Line Senior Support Analyst
If you would like to apply, please send your CV to emma.drew@venturi-group.com"
104,Head Chef/Kitchen Manager,Manchester M1 3HW,Jasmine Grill,,"Jasmine Grill - IMMEDIATE START
We are a busy local restaurant located at the heart of the city of Manchester.
We pride ourselves on the quality of our food which is a big reason why we are often rated as the best Turkish/Lebanese restaurant in in the city. Please feel free to check our reviews on trip advisor if you don't believe us: -)
We are looking for an experienced Head Chef who can carry this forward and help us to continue offering this supreme dining experience. You will be responsible for the kitchen's day to day operations as well as stock control, compliance, as well as managing, supervising and training your kitchen team. You will be expected to ensure high standards of hygiene are maintained and the kitchen team is fully COVID-19 aware.
The ideal head chef will have 5+ years experience in this role and at least 3 years experience in Lebanese cuisine. You must be able to demonstrate leadership, knowledge of COSHH, HSE at work and EHO requirements and have a food hygiene qualification.
We have a tight knit and very friendly team who will be very happy to welcome you into our group so please apply if you feel you fit the criteria.
A highly competitive wage - to be discussed at interview
Job Type: Full-time
Salary: £25,000.00-£30,000.00 per year
Additional pay:
Tips
Benefits:
Discounted or free food
Schedule:
10 hour shift
Holidays
Monday to Friday
Overtime
Weekends
COVID-19 considerations:
We have implemented the below:
Temperature checks for all staff and customers on arrival
Hand sanitisers for staff and customer and
Masks and gloves worn by our staff
Abiding by social distancing measures were possible
Experience:
Lebanese/Turkish cuisine: 3 years (Required)
Head chef: 2 years (Required)
Licence:
Food hygiene (Required)
Work remotely:
No"
105,Commercial Property Solicitor (Turkish Speaking),East London,JMC Legal Recruitment,,"This Legal 500 ranked firm are currently seeking to hire a Turkish speaking Commercial Property Solicitor to join the firms East London office.

This firm are entrepreneurial, forward-thinking, innovative and very dynamic. The practice has been established for more than 50 years and now stand at 75 staff. The firm has two offices; they have recently opened a prestigious Central London office in one of the West End's most luxurious buildings. They are Legal 500, and Chambers ranked and are tiered across a number of practice areas.

The firm is currently growing and is very busy with a surge of new work, increasingly with an International flavour to the work that they do. The practice has a strong leadership team, with well-thought-out, strategic growth planned over the next 12/24 months.

The practice is people focussed and place staff at the heart of what they do. They take the time to really invest in their workforce, and as a result, have an excellent staff retention rate with an increasing number having been at the firm for double-digit years, they also have a growing number of home-grown Partners.

You will find an excellent opportunity for career investment; the firm are currently succession planning, this tied in with their growth plans, makes now an exciting time to join, with fast-track progression on offer for the right candidates.

The firm deal with an ever-growing quantity of work with an International flavour. Whether this is clients with International businesses and assets or cross-border legal matters, you will find a good variety to the work that they do. They currently deal with markets that include Turkey, India, and China.

The role

The firm are currently seeking to hire a Turkish speaking Commercial Property Solicitor to join the firms East London office.
You will deal with a broad range of work which will include; Sales and purchases, commercial leases, landlord and tenant, development and investment work.
You sometimes deal with work that has an International flavour
This role has excellent progression prospects attached; this role would prove to be an excellent opportunity for someone that may have hit a glass ceiling in their current role
You will deal with a very broad range of work making for an interesting caseload
Typical values of matters will range from £500k - £50million
Requirements
You will be a Commercial Property Solicitor with a minimum of 4 years PQE (there is no upper limit to the amount of PQE and applications are invited from even the most experienced of candidates)
You will have good conversational Turkish, written would be a plus but not essential
You will be commercially minded and have experience building business
You should be ambitious and wanting to progress in your career
Renumeration
Salary is competitive and negotiable depending on your level of PQE
You will also earn a lucrative bonus structure, allowing you to significantly increase your earnings
You will also receive an industry leading benefits package
This is a stand-out opportunity, with good prospects, for a Commercial Property to join this Legal 500 firm based in their East London office.

Apply now for immediate consideration or feel free to give me a call for a confidential conversation."
106,Customer Service Agent Turkish speaking,London,Expert People Solutions,,"A leading i-Gaming company that offers localised gaming solutions globally to 3rd party businesses is looking for customer service agents to work with partners in the Turkish market.
Key Competencies
Proven experience of delivering customer excellence.
Good knowledge and use of everyday internet use.
Competence with MS Word and MS Excel as well as general use of MS Windows.
Excellent verbal communication skills in Turkish, a minimum of upper-intermediate level English use (both verbal and writing).
Key Responsibilities
Handle inbound and outbound contact from customers (phone, e-mail, live chat)
Teamwork skills
Transferring accurate information to customers with quality service and customer satisfaction.
Dedicated to resolving customers' issues or problems
Confident and ambitious on sales
If you would like more information regarding the Turkish Speaking Customer Support Agent role or to apply please submit your CV, all applicants will be treated in the strictest of confidence.
Job Type: Full-time
Salary: £18,000.00-£22,000.00 per year
Experience:
Sales: 1 year (Preferred)
Customer Service: 1 year (Preferred)
Language:
Turkish fluent (Required)"
107,Bar Staff,Milton Keynes MK9,OLIVE TREE TURKISH AND MEDITERRANEAN RESTAURANT AND BAR,,"Busy restaurant in the heart of Milton Keynes , looking for hard working individuals , who are passionate about their job, and giving exceptional service.
Job Type: Contract
Salary: £7.00-£12.00 per hour
Job Type: Contract
Salary: £7.00-£10.00 per hour
Additional pay:
Tips
Benefits:
Discounted or free food
Flexible schedule
On-site parking
Schedule:
Day shift
Monday to Friday
Night shift
Weekends
Work remotely:
No"
108,Field Sales Manager,Worcester,Foodhub,,"About Our Company:
Foodhub is an international brand and market leader within the IT / Business Solutions sector
serving the Restaurant and Takeaway industry. A challenging progressive culture and a genuine
opportunity to grow your career in this new vacancy.
Job Description:
Someone who has natural communication and rapport building ability, and can show how this was
harnessed in previous positions.
➢ Accustomed to pressured target driven environments and takes ownership.
➢ Able to work unsupervised is very organised and can adhere to a system.
➢ Has field experience, or takeaway sector experience or relevant technical experience.
➢ Sales and CRM experience is important.
➢ Effective listener, who can identify needs and propose mutually valuable solutions.
➢ Driving license and the eligibility to work full time in the UK is an absolute must.
➢ Additional language fluency is a bonus, particularly Cantonese, Mandarin, Urdu, Hindi, Thai, Turkish,
and Arabic.
➢Willing and ready to work from 2 pm till 11 pm and later if required. Sunday to Thursday
Roles and Responsibilities:
Cover a given region and support all of our current client base within the region.
➢ Provide effective sales/service, represent our business in a professional productive way to further
increase our brand's value.
➢ Solid grasp of the product range and market along with the ability to deliver sensible value-oriented
proposals with ROI in mind.
➢ Ensure that each individual client is making maximum use of the system, and advice on strategy,
marketing, and business development harnessing the software.
➢ Be a point of reference for all things system oriented as well as provide business support earning trust and gaining further sales and referrals.
➢ Update all activity, and information promptly on the CRM and meet all given KPI metrics for both
support and sales within your area.
➢ Selling more of our product range and marketing products into existing customers, such as apps,
menus, SEO packages, etc.
➢ Generating new business sales via cold calling, setting appointments and canvassing on the ground.
➢ Liaise with our International Teams to ensure that all aspects of the customer's needs are addressed
efficiently.
➢ Display integrity, efficiency, and professionalism are vital at all times.
➢ Developing new business is a key component of this role, so disciplined consistent outbound activity is required to bring in monthly new accounts.
Sales Minimum Expectations:
➢ Cold Call visits to 5 new businesses.
➢ All the data are taken to be logged on to Zoho as per company requirements.
➢ Follow up calls or visits to the pipeline of leads.
➢ Ten sales consisting of new business and referrals.
➢ Support visits made to check on the progress of the new business
Job Types: Full-time, Permanent
Salary: £20,000.00-£25,000.00 per year
Experience:
field sales: 3 years (Required)
Language:
Cantonese/Mandarin or Urdu/Hindi/Arabic or Thai/Turkish (Required)
Work remotely:
No"
